,tiku,地域コード,地域,男,女,合計,最頻年齢,平均年齢,標準偏差
2530,5.0,925,富士見台,255,240,495,70.5,55.1202,20.196239172847715
2645,5.0,926,自由ケ丘,882,896,1778,70.5,54.775,23.360654904206577
2760,5.0,927,梅ケ丘,238,238,476,76.5,55.7689,21.398165113747726
2875,5.0,928,駒込,54,52,106,29.5,46.3396,24.017735896498703
2990,5.0,929,小山,59,77,136,23.5,44.4926,24.249165032223274
3105,5.0,930,茎崎,108,89,197,68.5,51.0279,23.547456828287224
3220,5.0,931,大舟戸,73,64,137,66.5,51.2737,22.92290879134721
3335,5.0,932,細見,64,52,116,69.5,52.4828,23.858412366869388
3450,5.0,933,泊崎,89,97,186,47.5,49.7903,23.00471230136327
3565,5.0,934,九万坪,77,86,163,66.5,44.3589,24.651653412265603
3680,5.0,935,六斗,65,75,140,71.5,53.4643,25.114426905181695
3795,5.0,936,明神,153,152,305,72.5,55.323,23.625385023838028
3910,5.0,937,稲荷原,109,126,235,69.5,54.8617,23.06127409880497
4025,5.0,938,中山,179,199,378,44.5,44.0661,23.04865147505306
4140,5.0,939,西大井,204,225,429,50.5,48.0152,22.543878557396223
4255,5.0,940,池向,109,114,223,69.5,53.5269,22.284930113354296
